Country                 ,Population,Density,Land Area,Median Age,Urban %
China                   ,1439323776,153    ,9388211  ,38        ,61
India                   ,1380004385,464    ,2973190  ,28        ,35
United States           ,331002651 ,36     ,9147420  ,38        ,83
Indonesia               ,273523615 ,151    ,1811570  ,30        ,56
Pakistan                ,220892340 ,287    ,770880   ,23        ,35
Brazil                  ,212559417 ,25     ,8358140  ,33        ,88
Nigeria                 ,206139589 ,226    ,910770   ,18        ,52
Bangladesh              ,164689383 ,1265   ,130170   ,28        ,39
Russia                  ,145934462 ,9      ,16376870 ,40        ,74
Mexico                  ,128932753 ,66     ,1943950  ,29        ,84
Japan                   ,126476461 ,347    ,364555   ,48        ,92
Ethiopia                ,114963588 ,115    ,1000000  ,19        ,21
Philippines             ,109581078 ,368    ,298170   ,26        ,47
Egypt                   ,102334404 ,103    ,995450   ,25        ,43
Vietnam                 ,97338579  ,314    ,310070   ,32        ,38
DR Congo                ,89561403  ,40     ,2267050  ,17        ,46
Turkey                  ,84339067  ,110    ,769630   ,32        ,76
Iran                    ,83992949  ,52     ,1628550  ,32        ,76
Germany                 ,83783942  ,240    ,348560   ,46        ,76
Thailand                ,69799978  ,137    ,510890   ,40        ,51
United Kingdom          ,67886011  ,281    ,241930   ,40        ,83
France                  ,65273511  ,119    ,547557   ,42        ,82
Italy                   ,60461826  ,206    ,294140   ,47        ,69
Tanzania                ,59734218  ,67     ,885800   ,18        ,37
South Africa            ,59308690  ,49     ,1213090  ,28        ,67
Myanmar                 ,54409800  ,83     ,653290   ,29        ,31
Kenya                   ,53771296  ,94     ,569140   ,20        ,28
South Korea             ,51269185  ,527    ,97230    ,44        ,82
Colombia                ,50882891  ,46     ,1109500  ,31        ,80
Spain                   ,46754778  ,94     ,498800   ,45        ,80
Uganda                  ,45741007  ,229    ,199810   ,17        ,26
Argentina               ,45195774  ,17     ,2736690  ,32        ,93
Algeria                 ,43851044  ,18     ,2381740  ,29        ,73
Sudan                   ,43849260  ,25     ,1765048  ,20        ,35
Ukraine                 ,43733762  ,75     ,579320   ,41        ,69
Iraq                    ,40222493  ,93     ,434320   ,21        ,73
Afghanistan             ,38928346  ,60     ,652860   ,18        ,25
Poland                  ,37846611  ,124    ,306230   ,42        ,60
Canada                  ,37742154  ,4      ,9093510  ,41        ,81
Morocco                 ,36910560  ,83     ,446300   ,30        ,64
Saudi Arabia            ,34813871  ,16     ,2149690  ,32        ,84
Uzbekistan              ,33469203  ,79     ,425400   ,28        ,50
Peru                    ,32971854  ,26     ,1280000  ,31        ,79
Angola                  ,32866272  ,26     ,1246700  ,17        ,67
Malaysia                ,32365999  ,99     ,328550   ,30        ,78
Mozambique              ,31255435  ,40     ,786380   ,18        ,38
Ghana                   ,31072940  ,137    ,227540   ,22        ,57
Yemen                   ,29825964  ,56     ,527970   ,20        ,38
Nepal                   ,29136808  ,203    ,143350   ,25        ,21
Venezuela               ,28435940  ,32     ,882050   ,30        ,-1
Madagascar              ,27691018  ,48     ,581795   ,20        ,39
Cameroon                ,26545863  ,56     ,472710   ,19        ,56
Côte d'Ivoire           ,26378274  ,83     ,318000   ,19        ,51
North Korea             ,25778816  ,214    ,120410   ,35        ,63
Australia               ,25499884  ,3      ,7682300  ,38        ,86
Niger                   ,24206644  ,19     ,1266700  ,15        ,17
Taiwan                  ,23816775  ,673    ,35410    ,42        ,79
Sri Lanka               ,21413249  ,341    ,62710    ,34        ,18
Burkina Faso            ,20903273  ,76     ,273600   ,18        ,31
Mali                    ,20250833  ,17     ,1220190  ,16        ,44
Romania                 ,19237691  ,84     ,230170   ,43        ,55
Malawi                  ,19129952  ,203    ,94280    ,18        ,18
Chile                   ,19116201  ,26     ,743532   ,35        ,85
Kazakhstan              ,18776707  ,7      ,2699700  ,31        ,58
Zambia                  ,18383955  ,25     ,743390   ,18        ,45
Guatemala               ,17915568  ,167    ,107160   ,23        ,52
Ecuador                 ,17643054  ,71     ,248360   ,28        ,63
Syria                   ,17500658  ,95     ,183630   ,26        ,60
Netherlands             ,17134872  ,508    ,33720    ,43        ,92
Senegal                 ,16743927  ,87     ,192530   ,19        ,49
Cambodia                ,16718965  ,95     ,176520   ,26        ,24
Chad                    ,16425864  ,13     ,1259200  ,17        ,23
Somalia                 ,15893222  ,25     ,627340   ,17        ,47
Zimbabwe                ,14862924  ,38     ,386850   ,19        ,38
Guinea                  ,13132795  ,53     ,245720   ,18        ,39
Rwanda                  ,12952218  ,525    ,24670    ,20        ,18
Benin                   ,12123200  ,108    ,112760   ,19        ,48
Burundi                 ,11890784  ,463    ,25680    ,17        ,14
Tunisia                 ,11818619  ,76     ,155360   ,33        ,70
Bolivia                 ,11673021  ,11     ,1083300  ,26        ,69
Belgium                 ,11589623  ,383    ,30280    ,42        ,98
Haiti                   ,11402528  ,414    ,27560    ,24        ,57
Cuba                    ,11326616  ,106    ,106440   ,42        ,78
South Sudan             ,11193725  ,18     ,610952   ,19        ,25
Dominican Republic      ,10847910  ,225    ,48320    ,28        ,85
Czech Republic (Czechia),10708981  ,139    ,77240    ,43        ,74
Greece                  ,10423054  ,81     ,128900   ,46        ,85
Jordan                  ,10203134  ,115    ,88780    ,24        ,91
